APMC,Commodity,cluster,date,modal_price,deseasonalize_price
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-09-01,957,1859.135648576003
Akluj,Brinjal,Akluj-Brinjal,2015-04-01,1016,1941.2021585561463
Akluj,Brinjal,Akluj-Brinjal,2016-04-01,2356,1779.4795647307967
Akluj,Brinjal,Akluj-Brinjal,2015-08-01,1611,3457.390379269503
Akluj,Brinjal,Akluj-Brinjal,2016-08-01,2842,2399.549288456439
Akluj,Brinjal,Akluj-Brinjal,2014-12-01,2667,1585.9340178250002
Akluj,Brinjal,Akluj-Brinjal,2015-12-01,2022,1502.856341358025
Akluj,Brinjal,Akluj-Brinjal,2015-02-01,1020,944.82711721542
Akluj,Brinjal,Akluj-Brinjal,2016-02-01,1331,1159.3350087803597
Akluj,Brinjal,Akluj-Brinjal,2015-01-01,1600,1603.069921795246
Akluj,Brinjal,Akluj-Brinjal,2016-01-01,1894,1503.1861801997031
Akluj,Brinjal,Akluj-Brinjal,2015-07-01,1713,1489.117483048806
Akluj,Brinjal,Akluj-Brinjal,2016-07-01,2571,1513.3669467989275
Akluj,Brinjal,Akluj-Brinjal,2015-06-01,1826,1585.7145204666463
Akluj,Brinjal,Akluj-Brinjal,2016-06-01,2418,1699.306223388705
Akluj,Brinjal,Akluj-Brinjal,2015-03-01,719,1774.2591113436274
Akluj,Brinjal,Akluj-Brinjal,2016-03-01,2213,1819.2308441165806
Akluj,Brinjal,Akluj-Brinjal,2015-05-01,1523,1877.3493936003438
Akluj,Brinjal,Akluj-Brinjal,2016-05-01,2053,1961.0801866152267
Akluj,Brinjal,Akluj-Brinjal,2014-11-01,3794,2908.07011181881
Akluj,Brinjal,Akluj-Brinjal,2015-11-01,1947,2688.379213274141
Akluj,Brinjal,Akluj-Brinjal,2014-10-01,1931,2160.9340442847274
Akluj,Brinjal,Akluj-Brinjal,2015-10-01,1844,1990.5280305163647
Akluj,Brinjal,Akluj-Brinjal,2016-10-01,2684,2234.9801803377
Akluj,Brinjal,Akluj-Brinjal,2014-09-01,1944,2669.7634157681887
Akluj,Brinjal,Akluj-Brinjal,2015-09-01,1588,1683.5734770193737
Akluj,Brinjal,Akluj-Brinjal,2016-09-01,1686,2473.393657036488
Akluj,Cabbage,Akluj-Cabbage,2015-04-01,394,604.1623478319931
Akluj,Cabbage,Akluj-Cabbage,2016-04-01,733,577.106754831448
Akluj,Cabbage,Akluj-Cabbage,2015-08-01,942,665.3083460734962
Akluj,Cabbage,Akluj-Cabbage,2016-08-01,1500,457.21998164486337
Akluj,Cabbage,Akluj-Cabbage,2014-12-01,488,563.0504723671831
Akluj,Cabbage,Akluj-Cabbage,2015-12-01,835,875.3045212480916
Akluj,Cabbage,Akluj-Cabbage,2015-02-01,640,673.0390475984638
Akluj,Cabbage,Akluj-Cabbage,2016-02-01,647,540.871931860849
Akluj,Cabbage,Akluj-Cabbage,2015-01-01,579,651.7809268776165
Akluj,Cabbage,Akluj-Cabbage,2016-01-01,856,669.2805967040778
Akluj,Cabbage,Akluj-Cabbage,2015-07-01,827,694.7941340211614
Akluj,Cabbage,Akluj-Cabbage,2016-07-01,1552,706.4060644667576
Akluj,Cabbage,Akluj-Cabbage,2015-06-01,800,712.0484813734205
Akluj,Cabbage,Akluj-Cabbage,2016-06-01,1300,731.2654085193005
Akluj,Cabbage,Akluj-Cabbage,2015-03-01,546,753.5079795136814
